date,return
2023-07-05,0.019805
2023-07-06,-0.006804
2023-07-07,0.010187
2023-07-10,-0.002256
2023-07-11,0.029240
2023-07-12,0.002691
2023-07-13,0.009577
2023-07-14,-0.008402
2023-07-17,-0.006834
2023-07-18,0.005821
2023-07-19,-0.001501
2023-07-20,0.007716
2023-07-21,-0.016223
2023-07-24,0.011575
2023-07-25,-0.007944
2023-07-26,0.024830
2023-07-27,-0.000306
2023-07-28,0.017016
2023-07-31,-0.017637
2023-08-01,0.005162
2023-08-02,-0.011300
2023-08-03,-0.006286
2023-08-04,0.000107
2023-08-07,-0.004163
2023-08-08,0.003103
2023-08-09,0.009146
2023-08-10,0.007960
2023-08-11,-0.001294
2023-08-14,-0.017243
2023-08-15,-0.010258
2023-08-16,-0.002647
2023-08-17,-0.026723
2023-08-18,0.009201
2023-08-21,-0.003195
2023-08-22,-0.003341
2023-08-23,0.011655
2023-08-24,0.008149
2023-08-25,0.002563
2023-08-28,-0.012717
2023-08-29,0.003680
2023-08-30,0.004127
2023-08-31,-0.011260
2023-09-01,0.012841
2023-09-04,0.006149
2023-09-05,-0.024820
2023-09-06,0.001324
2023-09-07,-0.016009
2023-09-08,0.014004
2023-09-11,0.009888
2023-09-12,-0.013995
2023-09-13,-0.011261
2023-09-14,0.001073
2023-09-15,-0.003185
2023-09-18,0.018865
2023-09-19,0.009062
2023-09-20,-0.003730
2023-09-21,0.007017
2023-09-22,-0.025603
2023-09-25,0.003673
2023-09-26,0.010630
2023-09-27,-0.002437
2023-09-28,-0.009078
2023-09-29,0.006873
2023-10-02,0.024283
2023-10-03,0.002361
2023-10-04,-0.014208
2023-10-05,0.017873
2023-10-06,-0.023682
2023-10-09,0.006090
2023-10-10,-0.007474
2023-10-11,0.011432
2023-10-12,-0.010818
2023-10-13,0.016348
2023-10-16,0.003553
2023-10-17,-0.021786
2023-10-18,-0.024873
2023-10-19,-0.004151
2023-10-20,0.015978
2023-10-23,0.001388
2023-10-24,0.000639
2023-10-25,-0.003149
2023-10-26,0.009024
2023-10-27,0.004517
2023-10-30,0.003304
2023-10-31,-0.012509
2023-11-01,0.014648
2023-11-02,0.016839
2023-11-03,-0.016467
2023-11-06,0.028569
2023-11-07,0.008831
2023-11-08,-0.006300
2023-11-09,-0.024004
2023-11-10,0.008011
2023-11-13,0.006769
2023-11-14,-0.007645
2023-11-15,-0.022582
2023-11-16,0.013856
2023-11-17,-0.007554
2023-11-20,-0.006097
2023-11-21,0.035371
2023-11-22,0.026400
2023-11-23,0.011722
2023-11-24,-0.005893
2023-11-27,0.007918
2023-11-28,-0.028718
2023-11-29,0.001132
2023-11-30,-0.009698
2023-12-01,-0.016270
2023-12-04,-0.019985
2023-12-05,0.006364
2023-12-06,0.000916
2023-12-07,0.001797
2023-12-08,0.010330
2023-12-11,-0.010776
2023-12-12,-0.015645
2023-12-13,-0.022405
2023-12-14,-0.004390
2023-12-15,0.009302
2023-12-18,-0.002068
2023-12-19,0.007814
2023-12-20,-0.014963
2023-12-21,-0.006064
2023-12-22,-0.009774
2023-12-25,-0.015805
2023-12-26,0.023043
2023-12-27,0.010452
2023-12-28,-0.009723
2023-12-29,-0.009775
2024-01-01,-0.000915
2024-01-02,-0.018226
2024-01-03,0.005248
2024-01-04,-0.016378
2024-01-05,-0.004830
2024-01-08,-0.013010
2024-01-09,-0.006198
2024-01-10,-0.016839
2024-01-11,-0.019860
2024-01-12,-0.012277
2024-01-15,-0.008700
2024-01-16,-0.003886
2024-01-17,0.000662
2024-01-18,0.018886
2024-01-19,0.009953
2024-01-22,-0.003361
2024-01-23,0.008874
2024-01-24,-0.008811
2024-01-25,0.017906
2024-01-26,0.006668
2024-01-29,-0.017148
2024-01-30,0.009242
2024-01-31,0.010001
2024-02-01,-0.033770
2024-02-02,-0.009551
2024-02-05,-0.006123
2024-02-06,-0.024306
2024-02-07,-0.013540
2024-02-08,-0.012054
2024-02-09,0.006139
2024-02-12,0.003556
2024-02-13,0.032627
2024-02-14,-0.005128
2024-02-15,0.014215
2024-02-16,0.000786
2024-02-19,0.003187
2024-02-20,-0.014695
2024-02-21,-0.024086
2024-02-22,-0.009789
2024-02-23,0.009327
2024-02-26,0.019585
2024-02-27,0.007350
2024-02-28,0.006029
2024-02-29,-0.010685
2024-03-01,0.018979
2024-03-04,0.016598
2024-03-05,-0.006835
2024-03-06,-0.000780
2024-03-07,-0.012651
2024-03-08,0.018140
2024-03-11,0.004879
2024-03-12,-0.001388
2024-03-13,0.004886
2024-03-14,0.005308
2024-03-15,-0.005344
2024-03-18,-0.015720
2024-03-19,-0.016247
2024-03-20,-0.021930
2024-03-21,0.005566
2024-03-22,0.027532
2024-03-25,-0.021438
2024-03-26,0.001529
2024-03-27,0.004937
2024-03-28,-0.012508
2024-03-29,0.002355
2024-04-01,-0.013912
2024-04-02,0.014805
2024-04-03,-0.007628
2024-04-04,0.001057
2024-04-05,0.008353
2024-04-08,-0.005573
2024-04-09,-0.022590
2024-04-10,-0.006841
2024-04-11,0.009337
2024-04-12,-0.001257
2024-04-15,0.002672
2024-04-16,-0.013705
2024-04-17,0.001590
2024-04-18,0.008902
2024-04-19,0.000256
2024-04-22,0.023650
2024-04-23,-0.002797
2024-04-24,-0.013217
2024-04-25,-0.020421
2024-04-26,0.014200
2024-04-29,-0.000938
2024-04-30,0.012445
2024-05-01,0.005521
2024-05-02,0.020114
2024-05-03,0.015626
2024-05-06,-0.004919
2024-05-07,0.003224
2024-05-08,0.013367
2024-05-09,-0.015651
2024-05-10,0.017936
2024-05-13,0.014950
2024-05-14,0.012087
2024-05-15,-0.002712
2024-05-16,0.003577
2024-05-17,-0.014165
2024-05-20,0.000524
2024-05-21,-0.007542
2024-05-22,0.000882
2024-05-23,-0.006383
2024-05-24,0.003348
2024-05-27,0.014542
2024-05-28,-0.016570
2024-05-29,0.011367
2024-05-30,-0.025098
2024-05-31,-0.027213
2024-06-03,-0.001692
2024-06-04,-0.000116
2024-06-05,0.005335
2024-06-06,-0.020792
2024-06-07,-0.000949
2024-06-10,0.001382
2024-06-11,0.015490
2024-06-12,-0.001498
2024-06-13,0.006412
2024-06-14,-0.012418
2024-06-17,-0.002544
2024-06-18,-0.005769
2024-06-19,0.008591
2024-06-20,-0.012560
2024-06-21,-0.010629
2024-06-24,0.007000
2024-06-25,0.022168
2024-06-26,0.004584
2024-06-27,0.003595
2024-06-28,-0.004527
2024-07-01,0.013405
2024-07-02,0.006549
2024-07-03,0.021465
2024-07-04,0.003934
2024-07-05,-0.012058
2024-07-08,-0.007324
2024-07-09,-0.012543
2024-07-10,-0.015835
2024-07-11,0.015596
2024-07-12,0.009892
2024-07-15,-0.015683
2024-07-16,0.022067
2024-07-17,0.002857
2024-07-18,-0.012161
2024-07-19,0.004628
2024-07-22,-0.001065
2024-07-23,-0.009858
2024-07-24,-0.024487
2024-07-25,0.000259
2024-07-26,0.003450
2024-07-29,-0.032438
2024-07-30,0.006736
2024-07-31,0.007520
2024-08-01,-0.006072
2024-08-02,0.001202
2024-08-05,-0.003708
2024-08-06,-0.010664
2024-08-07,-0.004701
2024-08-08,0.016695
2024-08-09,-0.018333
2024-08-12,0.002765
2024-08-13,0.002101
2024-08-14,-0.009045
2024-08-15,-0.005704
2024-08-16,-0.017705
2024-08-19,-0.010850
2024-08-20,-0.000013
2024-08-21,0.003884
2024-08-22,-0.011430
2024-08-23,0.038004
2024-08-26,-0.007329
2024-08-27,0.001392
2024-08-28,-0.003082
2024-08-29,-0.005197
2024-08-30,0.016063
2024-09-02,-0.006185
2024-09-03,0.016480
2024-09-04,0.014073
2024-09-05,-0.013271
2024-09-06,0.012744
2024-09-09,-0.008330
2024-09-10,0.034006
2024-09-11,-0.005023
2024-09-12,-0.011962
2024-09-13,-0.024088
2024-09-16,-0.016363
2024-09-17,-0.007458
2024-09-18,-0.012675
2024-09-19,-0.015559
2024-09-20,-0.008892
2024-09-23,-0.002782
2024-09-24,0.017917
2024-09-25,-0.021491
2024-09-26,-0.007096
2024-09-27,-0.012124
2024-09-30,-0.019139
2024-10-01,-0.016027
2024-10-02,-0.011522
2024-10-03,0.008763
2024-10-04,-0.002624
2024-10-07,-0.006925
2024-10-08,0.007441
2024-10-09,0.003310
2024-10-10,-0.002992
2024-10-11,0.004604
2024-10-14,-0.010554
2024-10-15,0.007642
2024-10-16,0.005637
2024-10-17,-0.005354
2024-10-18,-0.015443
2024-10-21,0.018801
2024-10-22,0.000978
2024-10-23,0.037941
2024-10-24,-0.008368
2024-10-25,0.010461
2024-10-28,-0.005628
2024-10-29,0.002971
2024-10-30,0.010217
2024-10-31,-0.010191
2024-11-01,-0.001451
2024-11-04,0.001812
2024-11-05,0.001219
2024-11-06,0.007256
2024-11-07,0.012620
2024-11-08,0.010220
2024-11-11,0.003088
2024-11-12,-0.004542
2024-11-13,-0.014321
2024-11-14,-0.009394
2024-11-15,-0.006807
2024-11-18,0.008334
2024-11-19,-0.004745
2024-11-20,-0.015729
2024-11-21,0.007629
2024-11-22,-0.010241
2024-11-25,-0.009773
2024-11-26,-0.003028
2024-11-27,0.005715
2024-11-28,-0.030365
2024-11-29,-0.014218
2024-12-02,0.001995
2024-12-03,-0.004752
2024-12-04,-0.011007
2024-12-05,-0.006968
2024-12-06,0.017116
2024-12-09,-0.005897
2024-12-10,0.008708
2024-12-11,0.009698
2024-12-12,-0.005828
2024-12-13,0.005343
2024-12-16,-0.005828
2024-12-17,-0.007830
2024-12-18,-0.014275
2024-12-19,0.010737
2024-12-20,-0.005177
2024-12-23,-0.007102
2024-12-24,-0.014293
2024-12-25,0.022411
2024-12-26,0.009073
2024-12-27,-0.001860
